time, spdl, spdr, x, y, theta
0 0 0 0 0 0
1 0.000000 0.000000 0.000000 0.000000 0.000000
2 0.000000 0.000000 0.000000 0.000000 0.000000
3 0.000000 0.000000 0.000000 0.000000 0.000000
4 0.000000 0.000000 0.000000 0.000000 0.000000
5 0.000000 0.000000 0.000000 0.000000 0.000000
6 0.010524 0.010524 0.000105 0.000000 0.000000
7 0.010524 0.010524 0.000210 0.000000 0.000000
8 0.021049 0.021049 0.000421 0.000000 0.000000
9 0.021049 0.021049 0.000631 0.000000 0.000000
10 0.031573 0.031573 0.000947 0.000000 0.000000
11 0.031573 0.031573 0.001263 0.000000 0.000000
12 0.042097 0.042097 0.001684 0.000000 0.000000
13 0.042097 0.042097 0.002105 0.000000 0.000000
14 0.042097 0.042097 0.002526 0.000000 0.000000
15 0.042097 0.042097 0.002947 0.000000 0.000000
16 0.052622 0.052622 0.003473 0.000000 0.000000
17 0.063146 0.063146 0.004104 0.000000 0.000000
18 0.063146 0.063146 0.004736 0.000000 0.000000
19 0.073670 0.073670 0.005473 0.000000 0.000000
20 0.084195 0.084195 0.006315 0.000000 0.000000
21 0.073670 0.073670 0.007051 0.000000 0.000000
22 0.094719 0.094719 0.007998 0.000000 0.000000
23 0.094719 0.094719 0.008946 0.000000 0.000000
24 0.105243 0.105243 0.009998 0.000000 0.000000
25 0.105243 0.105243 0.011051 0.000000 0.000000
26 0.105243 0.105243 0.012103 0.000000 0.000000
27 0.115768 0.115768 0.013261 0.000000 0.000000
28 0.126292 0.126292 0.014524 0.000000 0.000000
29 0.115768 0.115768 0.015681 0.000000 0.000000
30 0.136816 0.136816 0.017049 0.000000 0.000000
31 0.136817 0.136817 0.018418 0.000000 0.000000
32 0.147341 0.147341 0.019891 0.000000 0.000000
33 0.136816 0.136816 0.021259 0.000000 0.000000
34 0.157865 0.157865 0.022838 0.000000 0.000000
35 0.147341 0.147341 0.024311 0.000000 0.000000
36 0.168389 0.168389 0.025995 0.000000 0.000000
37 0.168389 0.168389 0.027679 0.000000 0.000000
38 0.168389 0.168389 0.029363 0.000000 0.000000
39 0.178914 0.178914 0.031152 0.000000 0.000000
40 0.178914 0.178914 0.032941 0.000000 0.000000
41 0.189438 0.189438 0.034836 0.000000 0.000000
42 0.199962 0.199962 0.036835 0.000000 0.000000
43 0.189438 0.189438 0.038730 0.000000 0.000000
44 0.210487 0.210487 0.040834 0.000000 0.000000
45 0.199962 0.199962 0.042834 0.000000 0.000000
46 0.221011 0.221011 0.045044 0.000000 0.000000
47 0.210487 0.210487 0.047149 0.000000 0.000000
48 0.231535 0.231535 0.049464 0.000000 0.000000
49 0.221011 0.221011 0.051674 0.000000 0.000000
50 0.242060 0.242060 0.054095 0.000000 0.000000
51 0.231535 0.231535 0.056410 0.000000 0.000000
52 0.242060 0.242060 0.058831 0.000000 0.000000
53 0.252584 0.252584 0.061357 0.000000 0.000000
54 0.252584 0.252584 0.063883 0.000000 0.000000
55 0.263108 0.263108 0.066514 0.000000 0.000000
56 0.263108 0.263108 0.069145 0.000000 0.000000
57 0.263108 0.263108 0.071776 0.000000 0.000000
58 0.284157 0.284157 0.074618 0.000000 0.000000
59 0.273633 0.273633 0.077354 0.000000 0.000000
60 0.284157 0.284157 0.080195 0.000000 0.000000
61 0.294682 0.294682 0.083142 0.000000 0.000000
62 0.294682 0.294682 0.086089 0.000000 0.000000
63 0.294681 0.294681 0.089036 0.000000 0.000000
64 0.315730 0.315730 0.092193 0.000000 0.000000
65 0.305206 0.305206 0.095245 0.000000 0.000000
66 0.315730 0.315730 0.098403 0.000000 0.000000
67 0.315730 0.315730 0.101560 0.000000 0.000000
68 0.336778 0.336778 0.104928 0.000000 0.000000
69 0.326255 0.326255 0.108190 0.000000 0.000000
70 0.336778 0.336778 0.111558 0.000000 0.000000
71 0.336779 0.336779 0.114926 0.000000 0.000000
72 0.357828 0.357828 0.118504 0.000000 0.000000
73 0.347303 0.347303 0.121977 0.000000 0.000000
74 0.357828 0.357828 0.125555 0.000000 0.000000
75 0.357828 0.357828 0.129134 0.000000 0.000000
76 0.368352 0.368352 0.132817 0.000000 0.000000
