time, spdl, spdr, x, y, theta
0 0 0 0 0 0
1 0.000000 0.000000 0.000000 0.000000 0.000000
2 0.000000 0.000000 0.000000 0.000000 0.000000
3 0.000000 0.000000 0.000000 0.000000 0.000000
4 0.000000 0.000000 0.000000 0.000000 0.000000
5 0.000000 0.000000 0.000000 0.000000 0.000000
6 0.010524 0.010524 0.000105 0.000000 0.000000
7 0.010524 0.010524 0.000210 0.000000 0.000000
8 0.021049 0.021049 0.000421 0.000000 0.000000
9 0.021049 0.021049 0.000631 0.000000 0.000000
10 0.031573 0.031573 0.000947 0.000000 0.000000
11 0.031573 0.031573 0.001263 0.000000 0.000000
12 0.042097 0.042097 0.001684 0.000000 0.000000
13 0.042097 0.042097 0.002105 0.000000 0.000000
14 0.042097 0.042097 0.002526 0.000000 0.000000
15 0.042097 0.042097 0.002947 0.000000 0.000000
16 0.052622 0.052622 0.003473 0.000000 0.000000
17 0.063146 0.063146 0.004104 0.000000 0.000000
18 0.063146 0.063146 0.004736 0.000000 0.000000
19 0.073670 0.073670 0.005473 0.000000 0.000000
20 0.084195 0.084195 0.006315 0.000000 0.000000
21 0.073670 0.073670 0.007051 0.000000 0.000000
22 0.094719 0.094719 0.007998 0.000000 0.000000
23 0.094719 0.094719 0.008946 0.000000 0.000000
24 0.105243 0.105243 0.009998 0.000000 0.000000
25 0.105243 0.105243 0.011051 0.000000 0.000000
26 0.105243 0.105243 0.012103 0.000000 0.000000
27 0.115768 0.115768 0.013261 0.000000 0.000000
28 0.126292 0.126292 0.014524 0.000000 0.000000
29 0.115768 0.115768 0.015681 0.000000 0.000000
30 0.136816 0.136816 0.017049 0.000000 0.000000
31 0.136817 0.136817 0.018418 0.000000 0.000000
32 0.147341 0.147341 0.019891 0.000000 0.000000
33 0.136816 0.136816 0.021259 0.000000 0.000000
34 0.157865 0.157865 0.022838 0.000000 0.000000
35 0.147341 0.147341 0.024311 0.000000 0.000000
36 0.168389 0.168389 0.025995 0.000000 0.000000
37 0.168389 0.168389 0.027679 0.000000 0.000000
38 0.168389 0.168389 0.029363 0.000000 0.000000
39 0.178914 0.178914 0.031152 0.000000 0.000000
40 0.178914 0.178914 0.032941 0.000000 0.000000
41 0.189438 0.189438 0.034836 0.000000 0.000000
42 0.199962 0.199962 0.036835 0.000000 0.000000
43 0.189438 0.189438 0.038730 0.000000 0.000000
44 0.210487 0.210487 0.040834 0.000000 0.000000
45 0.199962 0.199962 0.042834 0.000000 0.000000
46 0.210487 0.210487 0.044939 0.000000 0.000000
47 0.199962 0.199962 0.046939 0.000000 0.000000
48 0.210487 0.210487 0.049043 0.000000 0.000000
49 0.199962 0.199962 0.051043 0.000000 0.000000
50 0.210487 0.210487 0.053148 0.000000 0.000000
51 0.199962 0.199962 0.055148 0.000000 0.000000
52 0.210487 0.210487 0.057252 0.000000 0.000000
53 0.199962 0.199962 0.059252 0.000000 0.000000
54 0.210487 0.210487 0.061357 0.000000 0.000000
55 0.199962 0.199962 0.063356 0.000000 0.000000
56 0.210487 0.210487 0.065461 0.000000 0.000000
57 0.199962 0.199962 0.067461 0.000000 0.000000
58 0.210486 0.210486 0.069566 0.000000 0.000000
59 0.199962 0.199962 0.071565 0.000000 0.000000
60 0.210487 0.210487 0.073670 0.000000 0.000000
61 0.210486 0.210486 0.075775 0.000000 0.000000
62 0.199962 0.199962 0.077775 0.000000 0.000000
63 0.210487 0.210487 0.079880 0.000000 0.000000
64 0.199962 0.199962 0.081879 0.000000 0.000000
65 0.210486 0.210486 0.083984 0.000000 0.000000
66 0.199962 0.199962 0.085984 0.000000 0.000000
67 0.210486 0.210486 0.088089 0.000000 0.000000
68 0.199962 0.199962 0.090088 0.000000 0.000000
69 0.210487 0.210487 0.092193 0.000000 0.000000
70 0.199962 0.199962 0.094193 0.000000 0.000000
71 0.210486 0.210486 0.096298 0.000000 0.000000
72 0.199962 0.199962 0.098297 0.000000 0.000000
73 0.210487 0.210487 0.100402 0.000000 0.000000
74 0.199962 0.199962 0.102402 0.000000 0.000000
75 0.210486 0.210486 0.104507 0.000000 0.000000
76 0.199962 0.199962 0.106506 0.000000 0.000000
